ausent,-2.0
aust,-2.0
auxili,1.0
avalu,2.0
avar,-3.0
avarici,-3.0
avarient,-3.0
avasall,-4.0
avenrur,1.0
avent,1.0
aventaj,2.0
aventur,1.0
avergonz,-3.0
avers,-3.0
aversion,-3.0
avetor,-2.0
avi,-2.0
avilantez,-3.0
avinagr,-3.0
avisap,-2.0
aviv,1.0
axiom,2.0
ayud,2.0
azor,-3.0
bab,-3.0
baj,-2.0
bajisim,-2.0
bajon,-1.0
balanc,2.0
balbuc,-2.0
balbucent,-1.0
ball,4.0
baluart,1.0
banal,-2.0
bancarrot,-2.0
barandill,2.0
barb,-3.0
barbari,-3.0
barr,-2.0
bast,2.0
bastard,-3.0
bastardizacion,-3.0
bastion,1.0
basur,-1.0
bat,-3.0
batall,-3.0
baz,-2.0
bazofi,-4.0
beb,2.0
belic,-3.0
bell,3.0
bellac,-3.0
bellez,3.0
bendec,3.0
bendicion,3.0
bendit,2.0
beneficent,2.0
benefici,3.0
beneficiari,3.0
benevolent,2.0
benign,3.0
berr,-4.0
berrinch,-3.0
bes,2.0
besador,3.0
besti,-3.0
besuc,3.0
bien,2.0
bienam,2.0
bienaventur,2.0
bienest,2.0
bienhabl,2.0
bienintencion,2.0
biennac,2.0
bienv,2.0
bizarr,2.0
bland,3.0
bob,-2.0
bochorn,-3.0
bog,-4.0
boludec,-3.0
bonachon,2.0
bond,2.0
bonif,1.0
bonit,3.0
boquiabiert,-1.0
boreal,-2.0
borrasc,-4.0
bot,0.0
both,-1.0
bram,-4.0
brav,3.0
bravat,3.0
bravonel,3.0
breg,-2.0
bribon,-3.0
brill,2.0
brillant,3.0
brillantez,3.0
brinc,2.0
brizn,-2.0
brom,2.0
bromist,3.0
brot,2.0
bruj,-1.0
brut,-3.0
brutal,-3.0
brutaliz,-3.0
buc,2.0
buen,2.0
bufon,-2.0
buitr,-3.0
bul,-3.0
bullebull,2.0
buqu,0.0
burdel,-3.0
buril,-3.0
burl,-3.0
burlador,-3.0
burlesc,-3.0
burlon,-3.0
cañon,2.0
cabal,2.0
caballet,1.0
caballit,0.0
cabez,0.0
cabron,-3.0
cabroncet,-1.0
caer,0.0
caid,-3.0
caimient,-1.0
cal,1.0
calam,-3.0
calav,-3.0
calent,1.0
calibr,-2.0
calient,1.0
calm,1.0
calmant,2.0
calur,1.0
cam,-2.0
camorr,-1.0
campeon,2.0
camposant,-3.0
canaliz,2.0
cand,-2.0
canij,-2.0
cans,-3.0
cansanci,-3.0
caos,-2.0
caprich,-2.0
carñ,3.0
caract,3.0
caramel,2.0
carcaj,2.0
card,-3.0
carec,-3.0
carenci,-1.0
carg,-1.0
cari,-1.0
cariñ,3.0
carici,1.0
cartel,0.0
cascaj,-3.0
cascarrabi,-2.0
cast,1.0
castig,-2.0
casuch,-1.0
catastrof,-1.0
catet,-2.0
caudill,-3.0
caus,-3.0
cautel,0.0
cauteriz,-3.0
cautiv,3.0
ceñud,-3.0
ced,-2.0
cedaz,-2.0
cel,-3.0
celebr,3.0
celest,2.0
celestial,2.0
cen,2.0
censur,-2.0
cerc,3.0
cercion,-3.0
cert,2.0
chach,-4.0
chanc,2.0
chanz,2.0
charact,1.0
charl,-1.0
charladur,-1.0
charqu,-3.0
chasc,-2.0
chasqu,-3.0
chev,2.0
chifl,-3.0
chil,2.0
chill,-4.0
chim,2.0
chirl,-4.0
chism,-1.0
chismeador,0.0
chismograf,-1.0
chismorr,-1.0
chist,1.0
chiv,0.0
chivat,-2.0
choc,-3.0
chocarr,-2.0
choqu,-3.0
chorr,-2.0
chup,-2.0
chupador,-2.0
chupapoll,-2.0
chupa-poll,-2.0
chupi,3.0
chupon,-2.0
cicat,-3.0
cicatriz,-4.0
ciel,2.0
